,ticker,Median Absolute Error (MAE),Mean Absolute Percentage Error (MAPE),Median Absolute Percentage Error (MDAPE)
0,FB,9.709372588147614,3.516409390761089,2.6409540648712784
1,ABNB,13.586562511967676,9.749663162411188,8.093337497279608
2,ABNB_WITH_SEC,16.14523792341644,12.20712184663468,6.733024413459125
3,FANG,3.9891240392757363,4.00672276258559,3.4054905110433173
4,MCHP,8.156490437169229,7.7516397752255575,6.0235731726826796
5,MELI,91.64131559930098,6.816832422399369,5.147646414848159
6,MRO,0.914980026317548,5.498691576066705,4.917866116812251
7,MTRX,0.5949035168916751,6.19132830936434,5.482350298979504
8,NFLX,18.783103542608963,4.944767428923407,2.6880200808590606
9,PYPL,8.546096558902136,4.7127816537251634,3.288200711278358
